name,country,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active
Avalon - 30th Street,"USA, North East, New Jersey",39.09266554485,-74.718511104584,America/Los_Angeles,beginner,intermediate,WWD,North America,avalon---30th-street,True
Avalon Point,"Australia, WA, Perth South",-32.592391872321,115.63802361488,Australia/Sydney,intermediate,advanced,JAD,Oceania,avalon-point,True
"Avatoru Pass, Rangiroa","French Polynesia, Tuamotu Islands",-14.936295009734,-147.71006584168,UTC,intermediate,intermediate,RGI,Other,avatoru-pass-rangiroa,True
Avenida del mar,"Chile, Coquimbo",-29.918544676663,-71.276700496674,UTC,beginner,intermediate,LSC,South America,avenida-del-mar,True
Aventureiro,"Brazil, Rio de Janeiro Norte",-23.180132370708,-44.304428100586,America/Sao_Paulo,intermediate,advanced,GDR,South America,aventureiro,True
Aviño,"Spain, Galicia",43.293680567165,-8.740257024765,Europe/Madrid,beginner,intermediate,LCG,Europe,aviño,True
Aviones,Puerto Rico,18.45270260654,-65.956892967224,UTC,intermediate,advanced,SJU,Other,aviones,True
Avoca Point,"Australia, NSW, Central",-33.469629428154,151.43764972687,Australia/Sydney,beginner,intermediate,LBH,Oceania,avoca-point,True
Axim,Ghana,4.8581504642157,-2.2458028793335,UTC,beginner,intermediate,TKD,Other,axim,True
Ayampe,Ecuador,-1.6798949897108,-80.815773010254,UTC,beginner,intermediate,SNC,Other,ayampe,True
Aytré - lopette beach,"France, Charente maritime",46.131999046876,-1.1487901210785,Europe/Paris,beginner,intermediate,LRH,Europe,aytré---lopette-beach,True
Azako,"Japan, Kyushu, Tanegashima-Island",30.682475602235,131.06303885577,UTC,intermediate,advanced,TNE,Asia,azako,True
Azurara,"Portugal, North Porto",41.338931123836,-8.7446933984756,Europe/Lisbon,beginner,intermediate,OPO,Europe,azurara,True
B-point,East Timor,-8.8269722080643,125.05249142646,UTC,intermediate,advanced,MPT,Other,b-point,True
Baby Haleiwa's,"USA, Hawaii, Oahu",21.284615856797,-157.84955620766,America/Los_Angeles,beginner,intermediate,HNL,North America,baby-haleiwa's,True
Baby Makapuu,"USA, Hawaii, Oahu",21.315820705688,-157.66544669867,America/Los_Angeles,beginner,intermediate,NGF,North America,baby-makapuu,True
Baby Plage,Switzerland,46.208790665526,6.1634320020676,UTC,beginner,intermediate,GVA,Other,baby-plage,True
Baby Point Side,Turkey,36.772511215315,31.390857696533,UTC,beginner,intermediate,XXX,Other,baby-point-side,True
Back beach,"Australia, WA, Perth North",-28.794139286043,114.61177825928,Australia/Sydney,beginner,intermediate,GET,Oceania,back-beach,True
Back Beach,"New Zealand, New Zealand NI, West Coast Taranaki",-39.06826338817,174.0150743723,Pacific/Auckland,beginner,intermediate,NPL,Oceania,back-beach,True
back beach,"Ireland, North East and East",53.481840266285,-6.1113810539246,UTC,beginner,intermediate,DUB,Europe,back-beach,True
Back Bommie,"Australia, NSW, Newcastle",-32.49542915368,152.40775108337,Australia/Sydney,intermediate,advanced,FOT,Oceania,back-bommie,True
Back Jimmys,"Australia, NSW, Mid North Coast",-32.681718857913,152.1356678009,Australia/Sydney,intermediate,advanced,NTL,Oceania,back-jimmys,True
Backdoor,"Australia, NSW, Central",-33.279260933822,151.57284915447,Australia/Sydney,intermediate,advanced,BEO,Oceania,backdoor,True
Backdoor,"USA, Hawaii, Oahu",21.667678489776,-158.05210590363,America/Los_Angeles,intermediate,advanced,HDH,North America,backdoor,True
Backdoor,"Brazil, Rio de Janeiro Norte",-22.938421471373,-42.472313046455,America/Sao_Paulo,intermediate,advanced,JMR,South America,backdoor,True
Backdoor,"Italy, Sicily",37.333194071459,13.393814563751,UTC,intermediate,advanced,PMO,Europe,backdoor,True
Backdoor,"Brazil, Bahia Sul",-14.840602783968,-39.00146484375,America/Sao_Paulo,intermediate,advanced,IOS,South America,backdoor,True
BackDoor (Haifa),Israel,32.835516251146,34.979524612427,UTC,intermediate,advanced,HFA,Other,backdoor-(haifa),True
Backsides,"Australia, NSW, North",-28.843470765934,153.607878685,Australia/Sydney,intermediate,advanced,BNK,Oceania,backsides,True
Backwash,"Costa Rica, Pacific South",8.3914597996759,-83.279113769531,UTC,intermediate,advanced,PJM,Central America,backwash,True
Backyard OG (ocean gallery),"USA, South East, North Florida",29.811273463702,-81.261041164398,America/Los_Angeles,beginner,intermediate,UST,North America,backyard-og-(ocean-gallery),True
Badesi,"Italy, Sicily Sardinia",40.982101130655,8.8536071777344,UTC,beginner,intermediate,OLB,Europe,badesi,True
Badjang,"Philippines, Siargao Islands",9.2311474526738,126.05833053589,UTC,intermediate,advanced,TDG,Asia,badjang,True
Bafureira,"Portugal, Central Lisboa",38.692226039287,-9.3661746382713,Europe/Lisbon,beginner,intermediate,CAT,Europe,bafureira,True
Bagasbas Beach,"Philippines, Luzon",14.1375744263,122.98421859741,UTC,beginner,intermediate,DTE,Asia,bagasbas-beach,True
Baggies,"South Africa, Durban",-30.078940183934,30.872569084167,Africa/Johannesburg,intermediate,advanced,VIR,Africa,baggies,True
Baggies,"South Africa, Hibiscous Coast",-30.078462054469,30.873073339462,Africa/Johannesburg,intermediate,advanced,VIR,Africa,baggies,True
bagni Fiume ( Livorno ),"Italy, Mainland",43.519613846119,10.312685966492,UTC,beginner,intermediate,PSA,Europe,bagni-fiume-(-livorno-),True
Bagni Roma,"Italy, Mainland",43.496830016122,10.320453643799,UTC,beginner,intermediate,PSA,Europe,bagni-roma,True
Bahar ic-Caghaq,Malta,35.951920450497,14.445390701294,UTC,beginner,intermediate,MLA,Other,bahar-ic-caghaq,True
"Bai Dai Beach, Nha Trang",Vietnam,12.11603331326,109.19616222382,UTC,beginner,intermediate,CXR,Other,bai-dai-beach-nha-trang,True
Baía,"Portugal, Central Peniche",39.366487557215,-9.3558025360107,Europe/Lisbon,beginner,intermediate,LIS,Europe,baía,True
Baia das Quatro Ribeiras,"Azores, Central group",38.793764215381,-27.185904979706,UTC,beginner,intermediate,TER,Other,baia-das-quatro-ribeiras,True
Baia Formosa,"Brazil, Rio Grande Do Norte",-6.3669937103283,-35.014801025391,America/Sao_Paulo,intermediate,advanced,NAT,South America,baia-formosa,True
Baie des Trépassés,"France, Brittany South",48.047791891609,-4.7066974639893,Europe/Paris,beginner,intermediate,UIP,Europe,baie-des-trépassés,True
Bailey's Beach,"USA, North East, Southern New England",41.45568963371,-71.311976909637,America/Los_Angeles,beginner,intermediate,NPT,North America,bailey's-beach,True
