name,full_location_name,country,country_clean,state_province,region_detail,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active,nearest_city,nearest_city_distance_km,hotellook_city_id,hotellook_city_name,hotellook_city_distance_km
Poo Pipes,"Poo Pipes, NSW, Central","Australia, NSW, Central",Australia,NSW,Central,-33.38388415,151.4874852,Australia/Sydney,intermediate,advanced,GOS,Oceania,poo-pipes-nsw-central-australia,TRUE,Gosford,0,5303,Gosford,9.1
Popham - Read,"Popham - Read, North East, Northern New England","USA, North East, Northern New England",USA,North East,Northern New England,43.73389477,-69.79545593,America/Los_Angeles,beginner,intermediate,NHZ,North America,popham-read-north-east-northern-new-england-usa,TRUE,Phippsburg,0,1527059,Phippsburg,9.8
Popoia Island,"Popoia Island, Hawaii, Oahu","USA, Hawaii, Oahu",USA,Hawaii,Oahu,21.39992182,-157.7202053,America/Los_Angeles,beginner,intermediate,NGF,North America,popoia-island-hawaii-oahu-usa,TRUE,East Honolulu,0,,,
Popoyo,Popoyo,Nicaragua,Nicaragua,,,11.45141667,-86.10631667,UTC,intermediate,advanced,ECI,Other,popoyo-nicaragua,TRUE,Tola,0,12267,Tola,26.6
Populo,"Populo, Eastern group","Azores, Eastern group",Azores,,Eastern group,37.74993385,-25.62393665,UTC,beginner,intermediate,PDL,Other,populo-eastern-group-azores,TRUE,,,,,
Porís de Abona,"Porís de Abona, Tenerife","Canary, Tenerife",Canary,,Tenerife,28.16125167,-16.42807961,UTC,intermediate,advanced,TFS,Other,poris-de-abona-tenerife-canary,TRUE,,,,,
Porlackshöfn,Porlackshöfn,Iceland,Iceland,,,63.85035384,-21.36154175,UTC,intermediate,advanced,RKV,Europe,porlackshofn-iceland,TRUE,Sveitarfélagið Ölfus,0,1419767,Stykkisholmur,93.2
Porlock Weir Somerset,"Porlock Weir Somerset, Devon North","UK, Devon North",UK,,Devon North,51.21982407,-3.626311719,Europe/London,beginner,intermediate,CWL,Europe,porlock-weir-somerset-devon-north-uk,TRUE,Somerset,0,1496268,Somerton,64.9
Pornichet,"Pornichet, Brittany South","France, Brittany South",France,,Brittany South,47.26379586,-2.347126007,Europe/Paris,beginner,intermediate,LBY,Europe,pornichet-brittany-south-france,TRUE,,,,,
Pororoca,"Pororoca, Maranhao","Brazil, Maranhao",Brazil,,Maranhao,1.242601,-50.291972,America/Sao_Paulo,advanced,advanced,MCP,South America,pororoca-maranhao-brazil,TRUE,Amapá,0,,,
Porpoise Bay,"Porpoise Bay, New Zealand SI, Far South","New Zealand, New Zealand SI, Far South",New Zealand,New Zealand SI,Far South,-46.65438516,169.1049957,Pacific/Auckland,beginner,intermediate,IVC,Oceania,porpoise-bay-new-zealand-si-far-south-new-zealand,TRUE,,,,,
Pors Ar Vag,"Pors Ar Vag, Brittany North","France, Brittany North",France,,Brittany North,48.16688687,-4.294109344,Europe/Paris,beginner,intermediate,UIP,Europe,pors-ar-vag-brittany-north-france,TRUE,Plomodiern,0,1480027,Plomodiern,4.9
Pors Carn,"Pors Carn, Brittany South","France, Brittany South",France,,Brittany South,47.83136545,-4.354276657,Europe/Paris,beginner,intermediate,UIP,Europe,pors-carn-brittany-south-france,TRUE,,,,,
Pors Poulhan,"Pors Poulhan, Brittany South","France, Brittany South",France,,Brittany South,47.9847228,-4.465041161,Europe/Paris,beginner,intermediate,UIP,Europe,pors-poulhan-brittany-south-france,TRUE,Plouhinec,0,1473563,Plouhinec,97.3
Pors Theolen,"Pors Theolen, Brittany South","France, Brittany South",France,,Brittany South,48.06247875,-4.673051834,Europe/Paris,beginner,intermediate,UIP,Europe,pors-theolen-brittany-south-france,TRUE,,,,,
Pors-ar-Villec,"Pors-ar-Villec, Brittany North","France, Brittany North",France,,Brittany North,48.69452975,-3.648962975,Europe/Paris,beginner,intermediate,LAI,Europe,pors-ar-villec-brittany-north-france,TRUE,,,,,
Pors-Nevez,"Pors-Nevez, Brittany North","France, Brittany North",France,,Brittany North,48.81828082,-3.44889164,Europe/Paris,beginner,intermediate,LAI,Europe,pors-nevez-brittany-north-france,TRUE,,,,,
Porsmilin,"Porsmilin, Brittany North","France, Brittany North",France,,Brittany North,48.35527944,-4.678813219,Europe/Paris,beginner,intermediate,BES,Europe,porsmilin-brittany-north-france,TRUE,,,,,
Port  Douglas,"Port  Douglas, QLD, Far North West","Australia, QLD, Far North West",Australia,QLD,Far North West,-16.4795573,145.4602182,Australia/Sydney,intermediate,intermediate,CNS,Oceania,port-douglas-qld-far-north-west-australia,TRUE,Douglas Shire,0,,,
Port Alfred,"Port Alfred, South East Port Elizabeth","South Africa, South East Port Elizabeth",South Africa,,South East Port Elizabeth,-33.60303907,26.90208435,Africa/Johannesburg,intermediate,advanced,AFD,Africa,port-alfred-south-east-port-elizabeth-south-africa,TRUE,Ndlambe Local Municipality,0,,,
Port Aransas,"Port Aransas, Gulf Coast, Texas","USA, Gulf Coast, Texas",USA,Gulf Coast,Texas,27.81782289,-97.05871582,America/Los_Angeles,beginner,intermediate,NGP,North America,port-aransas-gulf-coast-texas-usa,TRUE,Port Aransas,0,22484,Port Aransas,1.1
port beach,"port beach, WA, Perth City","Australia, WA, Perth City",Australia,WA,Perth City,-32.02954418,115.7460308,Australia/Sydney,beginner,intermediate,JFM,Oceania,port-beach-wa-perth-city-australia,TRUE,Perth,0,5536,Perth,12.5
Port de mataró,"Port de mataró, Mediterranean","Spain, Mediterranean",Spain,,Mediterranean,41.53736604,2.455004454,Europe/Madrid,beginner,intermediate,BCN,Europe,port-de-mataro-mediterranean-spain,TRUE,,,,,
Port Fairy,"Port Fairy, VIC, Western Victoria","Australia, VIC, Western Victoria",Australia,VIC,Western Victoria,-38.37995069,142.2455049,Australia/Sydney,intermediate,advanced,WMB,Oceania,port-fairy-vic-western-victoria-australia,TRUE,,,,,
Port Geograph Bay,"Port Geograph Bay, WA, Margaret River North","Australia, WA, Margaret River North",Australia,WA,Margaret River North,-33.64777874,115.3413391,Australia/Sydney,intermediate,advanced,BQB,Oceania,port-geograph-bay-wa-margaret-river-north-australia,TRUE,City Of Busselton,0,,,
"Port Geographe, Busseton","Port Geographe, Busseton, WA, Margaret River North","Australia, WA, Margaret River North",Australia,WA,Margaret River North,-33.62881546,115.3923869,Australia/Sydney,intermediate,advanced,BQB,Oceania,port-geographe-busseton-wa-margaret-river-north-australia,TRUE,City Of Busselton,0,,,
Port Ginesta,"Port Ginesta, Mediterranean","Spain, Mediterranean",Spain,,Mediterranean,41.25920263,1.930482388,Europe/Madrid,beginner,intermediate,BCN,Europe,port-ginesta-mediterranean-spain,TRUE,,,,,
Port Goret (Treveneuc),"Port Goret (Treveneuc), Brittany North","France, Brittany North",France,,Brittany North,48.67044581,-2.862110138,Europe/Paris,beginner,intermediate,SBK,Europe,port-goret-treveneuc-brittany-north-france,TRUE,Tréveneuc,0,1501297,Treveneuc,0.8
Port Gregory,"Port Gregory, WA, Kalbarri","Australia, WA, Kalbarri",Australia,WA,Kalbarri,-28.18763843,114.2353249,Australia/Sydney,intermediate,advanced,KAX,Oceania,port-gregory-wa-kalbarri-australia,TRUE,Shire of Northampton,0,,,
Port Kembla,"Port Kembla, NSW, Coal Coast","Australia, NSW, Coal Coast",Australia,NSW,Coal Coast,-34.49272781,150.9090614,Australia/Sydney,intermediate,advanced,WOL,Oceania,port-kembla-nsw-coal-coast-australia,TRUE,Wollongong City Council,0,,,
Port louis,Port louis,Guadeloupe,Guadeloupe,,,16.42968443,-61.53948784,UTC,beginner,intermediate,PTP,Other,port-louis-guadeloupe,TRUE,,,,,
Port Nolloth Reef,"Port Nolloth Reef, West Coast","South Africa, West Coast",South Africa,,West Coast,-29.27234291,16.86746836,Africa/Johannesburg,intermediate,advanced,KLZ,Africa,port-nolloth-reef-west-coast-south-africa,TRUE,,,,,
Port Orford,"Port Orford, North West, Oregon South","USA, North West, Oregon South",USA,North West,Oregon South,42.74158935,-124.4922397,America/Los_Angeles,intermediate,advanced,GOL,North America,port-orford-north-west-oregon-south-usa,TRUE,Curry County,0,,,
Port Renfrew,"Port Renfrew, West Coast","Canada, West Coast",Canada,,West Coast,48.56734998,-124.410038,UTC,intermediate,advanced,DUQ,North America,port-renfrew-west-coast-canada,TRUE,Juan de Fuca Electoral Area,0,,,
Port saplaya,"Port saplaya, Mediterranean","Spain, Mediterranean",Spain,,Mediterranean,39.51000693,-0.319282115,Europe/Madrid,beginner,intermediate,VLC,Europe,port-saplaya-mediterranean-spain,TRUE,,,,,
Port Shepstone,"Port Shepstone, Hibiscous Coast","South Africa, Hibiscous Coast",South Africa,,Hibiscous Coast,-30.74210501,30.46071053,Africa/Johannesburg,intermediate,advanced,MGH,Africa,port-shepstone-hibiscous-coast-south-africa,TRUE,,,,,
Port st.joe cape,"Port st.joe cape, Gulf Coast, Florida","USA, Gulf Coast, Florida",USA,Gulf Coast,Florida,29.81205077,-85.30274391,America/Los_Angeles,beginner,intermediate,AAF,North America,port-st-joe-cape-gulf-coast-florida-usa,TRUE,Port Saint Joe,0,17938,Port Saint Joe,0.0
porta do sol,"porta do sol, Sao Paulo North Coast","Brazil, Sao Paulo North Coast",Brazil,,Sao Paulo North Coast,-23.98133174,-46.37376308,America/Sao_Paulo,intermediate,advanced,SSZ,South America,porta-do-sol-sao-paulo-north-coast-brazil,TRUE,,,,,
Portballintrae,"Portballintrae, North East and East","Ireland, North East and East",Ireland,,North East and East,55.2225123,-6.535663605,UTC,beginner,intermediate,LDY,Europe,portballintrae-north-east-and-east-ireland,TRUE,,,,,
Portete,Portete,Ecuador,Ecuador,,,0.487469729,-80.04932642,UTC,intermediate,advanced,ESM,Other,portete-ecuador,TRUE,,,,,
