name,full_location_name,country,country_clean,state_province,region_detail,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active,nearest_city,nearest_city_distance_km,hotellook_city_id,hotellook_city_name,hotellook_city_distance_km
BLUFF,BLUFF,Panama,Panama,,,9.423851564,-82.25616217,UTC,intermediate,advanced,BOC,Central America,bluff-panama,TRUE,,,,,
Bluffers,"Bluffers, Great Lakes","Canada, Great Lakes",Canada,,Great Lakes,43.70421196,-79.22897816,UTC,beginner,intermediate,YTZ,North America,bluffers-great-lakes-canada,TRUE,Toronto,0,21396,Toronto,13.7
Blyth Beach,"Blyth Beach, Borders and NE England","UK, Borders and NE England",UK,,Borders and NE England,55.11029175,-1.49731636,Europe/London,beginner,intermediate,NCL,Europe,blyth-beach-borders-and-ne-england-uk,TRUE,Northumberland,0,,,
Bo Sommerland -  flow rider,Bo Sommerland -  flow rider,Norway,Norway,,,59.4465586,9.073419571,UTC,intermediate,intermediate,NTB,Europe,bo-sommerland-flow-rider-norway,TRUE,Midt-Telemark,0,9206,Stranda,53.7
Boa,"Boa, Savu Sea","Indonesia, Savu Sea",Indonesia,,Savu Sea,-10.94033065,122.8400161,Asia/Jakarta,intermediate,advanced,RTI,Asia,boa-savu-sea-indonesia,TRUE,,,,,
Boar rice,"Boar rice, Kerala","India, Kerala",India,,Kerala,8.71678863,76.70654297,UTC,beginner,intermediate,TRV,Other,boar-rice-kerala-india,TRUE,,,,,
Board n Surf,Board n Surf,Lebanon,Lebanon,,,34.1070514,35.65017678,UTC,intermediate,advanced,BEY,Other,board-n-surf-lebanon,TRUE,Mastita,0,1516676,Harisa,13.9
Boardwalk,"Boardwalk, South East, North Florida","USA, South East, North Florida",USA,South East,North Florida,28.09212348,-80.56523323,America/Los_Angeles,beginner,intermediate,MLB,North America,boardwalk-south-east-north-florida-usa,TRUE,Brevard County,0,,,
Boat Basin Lefts,"Boat Basin Lefts, Guam","Micronesia, Guam",Micronesia,,Guam,13.48294658,144.7516483,UTC,intermediate,advanced,GUM,Other,boat-basin-lefts-guam-micronesia,TRUE,,,,,
Boat Basin Rights,"Boat Basin Rights, Guam","Micronesia, Guam",Micronesia,,Guam,13.48265967,144.7528875,UTC,intermediate,advanced,GUM,Other,boat-basin-rights-guam-micronesia,TRUE,,,,,
Boat House,"Boat House, California, Santa Barbara","USA, California, Santa Barbara",USA,California,Santa Barbara,34.55553142,-120.6066227,America/Los_Angeles,intermediate,advanced,LPC,North America,boat-house-california-santa-barbara-usa,TRUE,Santa Barbara County,0,17389,Santa Barbara,84.6
Bob Hall Pier,"Bob Hall Pier, Gulf Coast, Texas","USA, Gulf Coast, Texas",USA,Gulf Coast,Texas,27.58229905,-97.21823215,America/Los_Angeles,beginner,intermediate,NGP,North America,bob-hall-pier-gulf-coast-texas-usa,TRUE,Corpus Christi,0,22302,Corpus Christi,29.9
Bobby's,"Bobby's, Gironde","France, Gironde",France,,Gironde,44.4958931,-1.249952316,Europe/Paris,intermediate,advanced,BOD,Europe,bobby-s-gironde-france,TRUE,La Teste-de-Buch,0,15042,La Teste-de-Buch,17.1
Bobo's Haena,"Bobo's Haena, Hawaii, Kauai","USA, Hawaii, Kauai",USA,Hawaii,Kauai,22.22523011,-159.5777893,America/Los_Angeles,intermediate,advanced,HPV,North America,bobo-s-haena-hawaii-kauai-usa,TRUE,Kauaʻi County,0,23766,Kapaa,8.2
Bobon,"Bobon, Mindanao","Philippines, Mindanao",Philippines,,Mindanao,6.852719405,126.347065,UTC,intermediate,advanced,MXI,Asia,bobon-mindanao-philippines,TRUE,Mati,0,,,
Boca Barranca,"Boca Barranca, Pacific South","Costa Rica, Pacific South",Costa Rica,,Pacific South,9.959213497,-84.74029541,UTC,intermediate,advanced,JAP,Central America,boca-barranca-pacific-south-costa-rica,TRUE,,,,,
Boca da Barra,"Boca da Barra, Bahia Sul","Brazil, Bahia Sul",Brazil,,Bahia Sul,-14.2658804,-38.98670197,America/Sao_Paulo,beginner,intermediate,MUU,South America,boca-da-barra-bahia-sul-brazil,TRUE,,,,,
Boca de Apisa,"Boca de Apisa, Michoacan","Mexico, Michoacan",Mexico,,Michoacan,19.16332989,-104.4140625,America/Mexico_City,intermediate,advanced,ZLO,North America,boca-de-apisa-michoacan-mexico,TRUE,Manzanillo,0,4435,Manzanillo,16.1
Boca del Abajo,"Boca del Abajo, Lanzarote","Canary, Lanzarote",Canary,,Lanzarote,29.120824,-13.660126,UTC,intermediate,advanced,ACE,Other,boca-del-abajo-lanzarote-canary,TRUE,Tinajo,0,1473134,Tinajo,6.6
Boca do rio,"Boca do rio, Algarve","Portugal, Algarve",Portugal,,Algarve,37.06542538,-8.810112476,Europe/Lisbon,beginner,intermediate,PRM,Europe,boca-do-rio-algarve-portugal,TRUE,,,,,
Boca Inlet,"Boca Inlet, South East, South Florida","USA, South East, South Florida",USA,South East,South Florida,26.33523482,-80.07047296,America/Los_Angeles,beginner,intermediate,BCT,North America,boca-inlet-south-east-south-florida-usa,TRUE,Boca Raton,0,17746,Boca Raton,2.9
Bocabarranco,"Bocabarranco, Gran Canaria","Canary, Gran Canaria",Canary,,Gran Canaria,28.15877817,-15.66541225,UTC,intermediate,advanced,LPA,Other,bocabarranco-gran-canaria-canary,TRUE,,,,,
Bocchetta ( Viareggio ),"Bocchetta ( Viareggio ), Mainland","Italy, Mainland",Italy,,Mainland,43.862273,10.23333549,UTC,intermediate,advanced,PSA,Europe,bocchetta-viareggio-mainland-italy,TRUE,,,,,
Bocock's Bay,Bocock's Bay,Namibia,Namibia,,,-21.51666667,13.85,UTC,intermediate,advanced,SWP,Other,bocock-s-bay-namibia,TRUE,,,,,
bodu kanmathi,bodu kanmathi,Maldives,Maldives,,,5.330819938,73.46492574,UTC,intermediate,advanced,LMV,Asia,bodu-kanmathi-maldives,TRUE,,,,,
BOGATELL,"BOGATELL, Mediterranean","Spain, Mediterranean",Spain,,Mediterranean,41.39279527,2.207372189,Europe/Madrid,beginner,intermediate,BCN,Europe,bogatell-mediterranean-spain,TRUE,,,,,
Bogliasco,"Bogliasco, Mainland","Italy, Mainland",Italy,,Mainland,44.37737511,9.069224596,UTC,intermediate,advanced,GOA,Europe,bogliasco-mainland-italy,TRUE,,,,,
bogsted,bogsted,Denmark,Denmark,,,56.98195829,8.40495944,UTC,beginner,intermediate,TED,Europe,bogsted-denmark,TRUE,,,,,
Boiler,"Boiler, South East, North Carolina","USA, South East, North Carolina",USA,South East,North Carolina,35.71654368,-75.49214065,America/Los_Angeles,intermediate,advanced,MEO,North America,boiler-south-east-north-carolina-usa,TRUE,Dare County,0,,,
Boiler bay,"Boiler bay, North West, Oregon North","USA, North West, Oregon North",USA,North West,Oregon North,44.83076521,-124.0625954,America/Los_Angeles,intermediate,advanced,ONP,North America,boiler-bay-north-west-oregon-north-usa,TRUE,Lincoln County,0,21462,Lincoln City,34.0
Boiler Reef,"Boiler Reef, South Wales","UK, South Wales",UK,,South Wales,51.53760965,-4.211820513,Europe/London,intermediate,advanced,SWS,Europe,boiler-reef-south-wales-uk,TRUE,Swansea,0,8453,Swansea,20.7
Boilers,"Boilers, South","Morocco, South",Morocco,,South,30.62445208,-9.878286123,Africa/Casablanca,intermediate,advanced,AGA,Africa,boilers-south-morocco,TRUE,,,,,
Boiling Pot,"Boiling Pot, QLD, Sunshine Coast","Australia, QLD, Sunshine Coast",Australia,QLD,Sunshine Coast,-26.37932713,153.1002223,Australia/Sydney,intermediate,advanced,NSV,Oceania,boiling-pot-qld-sunshine-coast-australia,TRUE,,,,,
Boldró,"Boldró, Fernando do Noronha","Brazil, Fernando do Noronha",Brazil,,Fernando do Noronha,-3.845457404,-32.43169427,America/Sao_Paulo,intermediate,advanced,FEN,South America,boldro-fernando-do-noronha-brazil,TRUE,,,,,
Bolina,"Bolina, Central Lisboa","Portugal, Central Lisboa",Portugal,,Central Lisboa,38.70157084,-9.394276142,Europe/Lisbon,beginner,intermediate,CAT,Europe,bolina-central-lisboa-portugal,TRUE,Agualva-Cacém,0,4744,Cascais,4.4
Bolinas,"Bolinas, California, SF Marin","USA, California, SF Marin",USA,California,SF Marin,37.90380269,-122.6837254,America/Los_Angeles,beginner,intermediate,NOT,North America,bolinas-california-sf-marin-usa,TRUE,Marin County,0,1670051,Marin County,9.2
Bolivar,"Bolivar, Gulf Coast, Texas","USA, Gulf Coast, Texas",USA,Gulf Coast,Texas,29.51991957,-94.46551323,America/Los_Angeles,beginner,intermediate,GLS,North America,bolivar-gulf-coast-texas-usa,TRUE,Galveston County,0,23781,Galveston,40.3
Bolsa Chica,"Bolsa Chica, California, Orange County","USA, California, Orange County",USA,California,Orange County,33.69663705,-118.049469,America/Los_Angeles,beginner,intermediate,LGB,North America,bolsa-chica-california-orange-county-usa,TRUE,Huntington Beach,0,17172,Huntington Beach,1.4
Bombas,"Bombas, Santa Catarina North","Brazil, Santa Catarina North",Brazil,,Santa Catarina North,-27.14011808,-48.50678444,America/Sao_Paulo,intermediate,advanced,NVT,South America,bombas-santa-catarina-north-brazil,TRUE,,,,,
Bombers,"Bombers, New Zealand NI, South East Coast","New Zealand, New Zealand NI, South East Coast",New Zealand,New Zealand NI,South East Coast,-41.34418917,174.7962344,Pacific/Auckland,intermediate,advanced,WLG,Oceania,bombers-new-zealand-ni-south-east-coast-new-zealand,TRUE,Wellington,0,4665,Wellington,6.4
Bombie,"Bombie, NSW, Newcastle","Australia, NSW, Newcastle",Australia,NSW,Newcastle,-32.95177015,151.7573637,Australia/Sydney,intermediate,advanced,BEO,Oceania,bombie-nsw-newcastle-australia,TRUE,Newcastle,0,5498,Newcastle,1.8
Bombinhas,"Bombinhas, Santa Catarina North","Brazil, Santa Catarina North",Brazil,,Santa Catarina North,-27.14836684,-48.48953247,America/Sao_Paulo,beginner,intermediate,NVT,South America,bombinhas-santa-catarina-north-brazil,TRUE,Bombinhas,0,6334,Bombinhas,4.2
Bombo,"Bombo, NSW, South Coast","Australia, NSW, South Coast",Australia,NSW,South Coast,-34.65742775,150.8552027,Australia/Sydney,beginner,intermediate,WOL,Oceania,bombo-nsw-south-coast-australia,TRUE,The Council of the Municipality of Kiama,0,,,
Bomboras,"Bomboras, Hawaii, Oahu","USA, Hawaii, Oahu",USA,Hawaii,Oahu,21.2827564,-157.8487301,America/Los_Angeles,intermediate,advanced,HNL,North America,bomboras-hawaii-oahu-usa,TRUE,East Honolulu,0,,,
Bondi Beach,"Bondi Beach, NSW, Sydney South","Australia, NSW, Sydney South",Australia,NSW,Sydney South,-33.89259008,151.2788147,Australia/Sydney,beginner,intermediate,RSE,Oceania,bondi-beach-nsw-sydney-south-australia,TRUE,,,,,
Boners,"Boners, California, San Luis Obispo","USA, California, San Luis Obispo",USA,California,San Luis Obispo,35.6088708,-121.1454785,America/Los_Angeles,beginner,intermediate,SYL,North America,boners-california-san-luis-obispo-usa,TRUE,San Luis Obispo County,0,17378,San Luis Obispo,57.0
Bonete,"Bonete, Sao Paulo North Coast","Brazil, Sao Paulo North Coast",Brazil,,Sao Paulo North Coast,-23.91738267,-45.34778595,America/Sao_Paulo,intermediate,advanced,UBT,South America,bonete-sao-paulo-north-coast-brazil,TRUE,,,,,
Boneyard,"Boneyard, NSW, South Coast","Australia, NSW, South Coast",Australia,NSW,South Coast,-34.64825347,150.8604866,Australia/Sydney,intermediate,advanced,WOL,Oceania,boneyard-nsw-south-coast-australia,TRUE,,,,,
Boneyard,"Boneyard, Hawaii, Maui","USA, Hawaii, Maui",USA,Hawaii,Maui,20.8672231,-156.6779673,America/Los_Angeles,intermediate,advanced,JHM,North America,boneyard-hawaii-maui-usa,TRUE,Maui County,0,30429,Maui Island,37.0
BoneYard Exmouth,"BoneYard Exmouth, Devon South","UK, Devon South",UK,,Devon South,50.60866704,-3.369970322,Europe/London,intermediate,advanced,EXT,Europe,boneyard-exmouth-devon-south-uk,TRUE,East Devon,0,,,
Boneyards,"Boneyards, California, San Diego County","USA, California, San Diego County",USA,California,San Diego County,33.03721919,-117.2977316,America/Los_Angeles,intermediate,advanced,CLD,North America,boneyards-california-san-diego-county-usa,TRUE,Encinitas,0,17118,Encinitas,3.3
Boneyards,"Boneyards, South J Bay","South Africa, South J Bay",South Africa,,South J Bay,-34.03454152,24.9343729,Africa/Johannesburg,intermediate,advanced,PLZ,Africa,boneyards-south-j-bay-south-africa,TRUE,,,,,
Boneyards,"Boneyards, Devon North","UK, Devon North",UK,,Devon North,51.13175398,-4.241752625,Europe/London,intermediate,advanced,SWS,Europe,boneyards-devon-north-uk,TRUE,North Devon,0,,,
Bonnet Shores Point,"Bonnet Shores Point, North East, Southern New England","USA, North East, Southern New England",USA,North East,Southern New England,41.48202633,-71.41817093,America/Los_Angeles,beginner,intermediate,NPT,North America,bonnet-shores-point-north-east-southern-new-england-usa,TRUE,Narragansett,0,21918,Narragansett,6.4
Bono,"Bono, Sumatra Mainland","Indonesia, Sumatra Mainland",Indonesia,,Sumatra Mainland,0.174098703,102.5553131,Asia/Jakarta,intermediate,advanced,RGT,Asia,bono-sumatra-mainland-indonesia,TRUE,Teluk Meranti,0,,,
Bonza Bay,"Bonza Bay, East London","South Africa, East London",South Africa,,East London,-32.97544004,27.96747923,Africa/Johannesburg,beginner,intermediate,ELS,Africa,bonza-bay-east-london-south-africa,TRUE,East London,0,690,East London,6.8
Boobies,"Boobies, Cornwall North","UK, Cornwall North",UK,,Cornwall North,50.53612614,-5.024185181,Europe/London,beginner,intermediate,NQY,Europe,boobies-cornwall-north-uk,TRUE,Cornwall,0,7309,Cornwall,24.0
Boodjidup,"Boodjidup, WA, Margaret River South","Australia, WA, Margaret River South",Australia,WA,Margaret River South,-34.01076368,114.9975014,Australia/Sydney,intermediate,advanced,MQZ,Oceania,boodjidup-wa-margaret-river-south-australia,TRUE,Shire Of Augusta Margaret River,0,,,
boofs,"boofs, VIC, Melbourne East, Phillip Island","Australia, VIC, Melbourne East, Phillip Island",Australia,VIC,"Melbourne East, Phillip Island",-38.51056876,145.2828491,Australia/Sydney,intermediate,advanced,MBW,Oceania,boofs-vic-melbourne-east-phillip-island-australia,TRUE,,,,,
Booma,"Booma, SA, York Peninsula","Australia, SA, York Peninsula",Australia,SA,York Peninsula,-35.53648685,138.6671162,Australia/Sydney,beginner,intermediate,ADL,Oceania,booma-sa-york-peninsula-australia,TRUE,Alexandrina Council,0,,,
Boomerang Beach,"Boomerang Beach, NSW, Mid North Coast","Australia, NSW, Mid North Coast",Australia,NSW,Mid North Coast,-32.33965064,152.5413895,Australia/Sydney,beginner,intermediate,FOT,Oceania,boomerang-beach-nsw-mid-north-coast-australia,TRUE,Mid-Coast Council,0,,,
Booti Booti National Park,"Booti Booti National Park, NSW, Mid North Coast","Australia, NSW, Mid North Coast",Australia,NSW,Mid North Coast,-32.31208973,152.523365,Australia/Sydney,beginner,intermediate,FOT,Oceania,booti-booti-national-park-nsw-mid-north-coast-australia,TRUE,,,,,
Boquines,"Boquines, Gran Canaria","Canary, Gran Canaria",Canary,,Gran Canaria,28.14667469,-15.56087852,UTC,intermediate,advanced,LPA,Other,boquines-gran-canaria-canary,TRUE,,,,,
Bora,"Bora, TAS, North Coast","Australia, TAS, North Coast",Australia,TAS,North Coast,-41.16573243,146.3650882,Australia/Sydney,intermediate,advanced,DPO,Oceania,bora-tas-north-coast-australia,TRUE,Devonport,0,5236,Devonport,1.3
Boranup Beach,"Boranup Beach, WA, Margaret River South","Australia, WA, Margaret River South",Australia,WA,Margaret River South,-34.16579525,115.0282288,Australia/Sydney,intermediate,advanced,MQZ,Oceania,boranup-beach-wa-margaret-river-south-australia,TRUE,Shire Of Augusta Margaret River,0,,,
Bore,Bore,Norway,Norway,,,58.79942747,5.549211502,UTC,intermediate,advanced,SVG,Europe,bore-norway,TRUE,Klepp,0,9206,Stranda,53.7
Borete,"Borete, Paraiba Pernambucco","Brazil, Paraiba Pernambucco",Brazil,,Paraiba Pernambucco,-8.499622297,-35.00312805,America/Sao_Paulo,beginner,intermediate,REC,South America,borete-paraiba-pernambucco-brazil,TRUE,Ipojuca,0,6382,Ipojuca,13.0
"Borkum, Nordstrand","Borkum, Nordstrand",Germany,Germany,,,53.61114568,6.643810272,UTC,intermediate,intermediate,BMK,Europe,borkum-nordstrand-germany,TRUE,,,,,
"Borkum, Weststrand","Borkum, Weststrand",Germany,Germany,,,53.58563974,6.6553545,UTC,intermediate,intermediate,BMK,Europe,borkum-weststrand-germany,TRUE,,,,,
borsmose,borsmose,Denmark,Denmark,,,55.67353107,8.142499924,UTC,beginner,intermediate,EBJ,Europe,borsmose-denmark,TRUE,Varde Municipality,0,1495294,Toftum,62.1
Boscombe Pier,"Boscombe Pier, South","UK, South",UK,,South,50.7187974,-1.843600273,Europe/London,beginner,intermediate,BOH,Europe,boscombe-pier-south-uk,TRUE,,,,,
Boskraal Strand,"Boskraal Strand, West Coast","South Africa, West Coast",South Africa,,West Coast,-31.53642154,18.07347536,Africa/Johannesburg,intermediate,advanced,VRE,Africa,boskraal-strand-west-coast-south-africa,TRUE,,,,,
Boucan Left,Boucan Left,Reunion,Reunion,,,-21.02835032,55.22458076,UTC,intermediate,advanced,RUN,Other,boucan-left-reunion,TRUE,,,,,
Boucan Right,Boucan Right,Reunion,Reunion,,,-21.0269433,55.2251219,UTC,intermediate,advanced,RUN,Other,boucan-right-reunion,TRUE,,,,,
Bouka,"Bouka, Pelloponisos","Greece, Pelloponisos",Greece,,Pelloponisos,36.99296003,21.64836913,UTC,intermediate,advanced,KLX,Other,bouka-pelloponisos-greece,TRUE,Municipality of Pylos and Nestor,0,30528,Naxos Island,13.4
Boulder Beach,"Boulder Beach, NSW, North","Australia, NSW, North",Australia,NSW,North,-28.81100561,153.6065805,Australia/Sydney,beginner,intermediate,BNK,Oceania,boulder-beach-nsw-north-australia,TRUE,,,,,
Boulders,"Boulders, NSW, Newcastle","Australia, NSW, Newcastle",Australia,NSW,Newcastle,-32.6987664,152.1902561,Australia/Sydney,intermediate,advanced,NTL,Oceania,boulders-nsw-newcastle-australia,TRUE,Port Stephens Council,0,,,
Bournemouth Pier,"Bournemouth Pier, South","UK, South",UK,,South,50.71507485,-1.875658035,Europe/London,beginner,intermediate,BOH,Europe,bournemouth-pier-south-uk,TRUE,"Bournemouth, Christchurch and Poole",0,,,
Bouznika,"Bouznika, North","Morocco, North",Morocco,,North,33.47727219,-7.844238281,Africa/Casablanca,beginner,intermediate,CMN,Africa,bouznika-north-morocco,TRUE,Soualem Trifiya,0,4281,Casablanca,24.5
Bowie Seamount,"Bowie Seamount, West Coast","Canada, West Coast",Canada,,West Coast,53.30708288,-135.6598663,UTC,advanced,advanced,ZQS,North America,bowie-seamount-west-coast-canada,TRUE,,,,,
Box Beach,"Box Beach, NSW, Newcastle","Australia, NSW, Newcastle",Australia,NSW,Newcastle,-32.7203962,152.1854496,Australia/Sydney,beginner,intermediate,NTL,Oceania,box-beach-nsw-newcastle-australia,TRUE,,,,,
Box Head - Umina,"Box Head - Umina, NSW, Central","Australia, NSW, Central",Australia,NSW,Central,-33.54482846,151.3438797,Australia/Sydney,beginner,intermediate,LBH,Oceania,box-head-umina-nsw-central-australia,TRUE,Gosford,0,5303,Gosford,9.1
Boynton - tortuga beach,"Boynton - tortuga beach, South East, South Florida","USA, South East, South Florida",USA,South East,South Florida,26.54528754,-80.04237413,America/Los_Angeles,beginner,intermediate,LNA,North America,boynton-tortuga-beach-south-east-south-florida-usa,TRUE,Palm Beach County,0,17916,Palm Beach,17.8
BP,"BP, North East, Long Island NY","USA, North East, Long Island NY",USA,North East,Long Island NY,40.72117682,-72.89744139,America/Los_Angeles,intermediate,advanced,WSH,North America,bp-north-east-long-island-ny-usa,TRUE,Town of Brookhaven,0,,,
Brace Cove,"Brace Cove, North East, Northern New England","USA, North East, Northern New England",USA,North East,Northern New England,42.5870557,-70.64805508,America/Los_Angeles,intermediate,advanced,BVY,North America,brace-cove-north-east-northern-new-england-usa,TRUE,Gloucester,0,19041,Gloucester,3.4
Bracklesham Bay,"Bracklesham Bay, South East","UK, South East",UK,,South East,50.7602418,-0.860688686,Europe/London,beginner,intermediate,QUG,Europe,bracklesham-bay-south-east-uk,TRUE,,,,,
Bradenton- twin piers,"Bradenton- twin piers, Gulf Coast, Florida","USA, Gulf Coast, Florida",USA,Gulf Coast,Florida,27.459903,-82.69705832,America/Los_Angeles,beginner,intermediate,SRQ,North America,bradenton-twin-piers-gulf-coast-florida-usa,TRUE,Bradenton Beach,0,17752,Bradenton Beach,0.9
Bradley Beach,"Bradley Beach, North East, New Jersey","USA, North East, New Jersey",USA,North East,New Jersey,40.19792092,-74.00605202,America/Los_Angeles,beginner,intermediate,BLM,North America,bradley-beach-north-east-new-jersey-usa,TRUE,Monmouth County,0,20444,Monmouth Junction,50.1
"Brandenburg (Sylt, Westerland)","Brandenburg (Sylt, Westerland)",Germany,Germany,,,54.91263306,8.299076557,UTC,intermediate,advanced,GWT,Europe,brandenburg-sylt-westerland-germany,TRUE,Sylt,0,30338,Sylt Island,4.6
Brandon,Brandon,Barbados,Barbados,,,13.07720006,-59.60836709,UTC,beginner,intermediate,BGI,Other,brandon-barbados,TRUE,,,,,
Brandon Bay,"Brandon Bay, South West","Ireland, South West",Ireland,,South West,52.28941198,-10.03277063,UTC,beginner,intermediate,KIR,Europe,brandon-bay-south-west-ireland,TRUE,,,,,
Brantevik,Brantevik,Sweden,Sweden,,,55.51925353,14.34659958,UTC,beginner,intermediate,KID,Europe,brantevik-sweden,TRUE,Simrishamns kommun,0,1479489,Hono,46.2
Brasilito,"Brasilito, Guanacaste","Costa Rica, Guanacaste",Costa Rica,,Guanacaste,10.40530307,-85.80298662,UTC,beginner,intermediate,FMG,Central America,brasilito-guanacaste-costa-rica,TRUE,,,,,
Brava do Camburi,"Brava do Camburi, Sao Paulo North Coast","Brazil, Sao Paulo North Coast",Brazil,,Sao Paulo North Coast,-23.37096268,-44.79985893,America/Sao_Paulo,intermediate,advanced,JPY,South America,brava-do-camburi-sao-paulo-north-coast-brazil,TRUE,,,,,
Braymains,"Braymains, NSW, Sydney South","Australia, NSW, Sydney South",Australia,NSW,Sydney South,-34.05301498,151.1571121,Australia/Sydney,beginner,intermediate,SYD,Oceania,braymains-nsw-sydney-south-australia,TRUE,,,,,
Brazomar,"Brazomar, Cantabria","Spain, Cantabria",Spain,,Cantabria,43.37520222,-3.21236372,Europe/Madrid,intermediate,advanced,BIO,Europe,brazomar-cantabria-spain,TRUE,,,,,
Break water,"Break water, New Zealand NI, West Coast Taranaki","New Zealand, New Zealand NI, West Coast Taranaki",New Zealand,New Zealand NI,West Coast Taranaki,-39.05137682,174.0422988,Pacific/Auckland,intermediate,advanced,NPL,Oceania,break-water-new-zealand-ni-west-coast-taranaki-new-zealand,TRUE,New Plymouth,0,4609,New Plymouth,2.3
Breaker Bay,"Breaker Bay, New Zealand NI, SW Coast","New Zealand, New Zealand NI, SW Coast",New Zealand,New Zealand NI,SW Coast,-41.33286111,174.8315066,Pacific/Auckland,intermediate,advanced,WLG,Oceania,breaker-bay-new-zealand-ni-sw-coast-new-zealand,TRUE,Lower Hutt,0,4587,Lower Hutt,16.2
Breaker Reef,Breaker Reef,Hong Kong,Hong Kong,,,22.46122697,114.420408,UTC,intermediate,advanced,HHP,Other,breaker-reef-hong-kong,TRUE,Tai Po District,0,,,
Breakwater,"Breakwater, Cornwall West","UK, Cornwall West",UK,,Cornwall West,50.21559666,-5.475456789,Europe/London,beginner,intermediate,PZE,Europe,breakwater-cornwall-west-uk,TRUE,,,,,
Bregenz Hechtweg,Bregenz Hechtweg,Austria,Austria,,,47.50677278,9.713566303,UTC,beginner,intermediate,ACH,Other,bregenz-hechtweg-austria,TRUE,Bregenz,0,991,Bregenz,2.6
Bregenz Seebad,Bregenz Seebad,Austria,Austria,,,47.50962188,9.752511978,UTC,beginner,intermediate,HOH,Other,bregenz-seebad-austria,TRUE,Lochau,0,1506432,Lochau,2.6
Breidavik,Breidavik,Iceland,Iceland,,,65.5574803,-24.36087072,UTC,intermediate,advanced,PFJ,Europe,breidavik-iceland,TRUE,Vesturbyggð,0,1419767,Stykkisholmur,93.2
Bretteville,"Bretteville, Normandy","France, Normandy",France,,Normandy,49.65707191,-1.523666382,Europe/Paris,intermediate,advanced,CER,Europe,bretteville-normandy-france,TRUE,,,,,
Brewers Bay,Brewers Bay,British Virgin,British Virgin,,,18.44248438,-64.65145111,UTC,beginner,intermediate,RAD,Other,brewers-bay-british-virgin,TRUE,,,,,
Bribie Island,"Bribie Island, QLD, Sunshine Coast","Australia, QLD, Sunshine Coast",Australia,QLD,Sunshine Coast,-27.05759706,153.1998825,Australia/Sydney,beginner,intermediate,TAN,Oceania,bribie-island-qld-sunshine-coast-australia,TRUE,,,,,
Brick Beach 2,"Brick Beach 2, North East, New Jersey","USA, North East, New Jersey",USA,North East,New Jersey,40.01473963,-74.05486286,America/Los_Angeles,beginner,intermediate,BLM,North America,brick-beach-2-north-east-new-jersey-usa,TRUE,Toms River,0,20513,Toms River,13.9
Bridges,Bridges,Puerto Rico,Puerto Rico,,,18.42584283,-67.15588331,UTC,intermediate,advanced,BQN,Other,bridges-puerto-rico,TRUE,,,,,
Brighton,"Brighton, New Zealand SI, SE Coast","New Zealand, New Zealand SI, SE Coast",New Zealand,New Zealand SI,SE Coast,-45.94843438,170.3376317,Pacific/Auckland,beginner,intermediate,DUD,Oceania,brighton-new-zealand-si-se-coast-new-zealand,TRUE,,,,,
Brighton,"Brighton, SA, York Peninsula","Australia, SA, York Peninsula",Australia,SA,York Peninsula,-35.01705456,138.513726,Australia/Sydney,beginner,intermediate,ADL,Oceania,brighton-sa-york-peninsula-australia,TRUE,Adelaide,0,5052,Adelaide,29.7
Brighton (West Pier),"Brighton (West Pier), South East","UK, South East",UK,,South East,50.82095696,-0.153207779,Europe/London,beginner,intermediate,ESH,Europe,brighton-west-pier-south-east-uk,TRUE,Brighton,0,7115,Brighton,1.3
Brighton Beach,"Brighton Beach, WA, Perth City","Australia, WA, Perth City",Australia,WA,Perth City,-31.89690673,115.7543993,Australia/Sydney,beginner,intermediate,JFM,Oceania,brighton-beach-wa-perth-city-australia,TRUE,Perth,0,5536,Perth,12.5
Brighton Beach,"Brighton Beach, New Zealand SI, Far South","New Zealand, New Zealand SI, Far South",New Zealand,New Zealand SI,Far South,-45.95192546,170.3309155,Pacific/Auckland,beginner,intermediate,DUD,Oceania,brighton-beach-new-zealand-si-far-south-new-zealand,TRUE,,,,,
Brighton Beach,"Brighton Beach, Inland","USA, Inland",USA,,Inland,46.84287485,-91.99287057,America/Los_Angeles,beginner,intermediate,DLH,North America,brighton-beach-inland-usa,TRUE,Duluth,0,19571,Duluth,10.9
Brimurð,Brimurð,Iceland,Iceland,,,63.40614551,-20.27252197,UTC,intermediate,advanced,VEY,Europe,brimur-iceland,TRUE,,,,,
Broadbeach,"Broadbeach, QLD, Gold Coast","Australia, QLD, Gold Coast",Australia,QLD,Gold Coast,-28.02886046,153.4361744,Australia/Sydney,beginner,intermediate,SHQ,Oceania,broadbeach-qld-gold-coast-australia,TRUE,,,,,
Broadhaven (North),"Broadhaven (North), West Wales","UK, West Wales",UK,,West Wales,51.7812232,-5.105209351,Europe/London,beginner,intermediate,HAW,Europe,broadhaven-north-west-wales-uk,TRUE,Pembrokeshire,0,,,
Broadstairs,"Broadstairs, South East","UK, South East",UK,,South East,51.35735141,1.442899704,Europe/London,beginner,intermediate,CQF,Europe,broadstairs-south-east-uk,TRUE,Thanet,0,,,
Broken Head,"Broken Head, NSW, North","Australia, NSW, North",Australia,NSW,North,-28.70444062,153.6166763,Australia/Sydney,intermediate,advanced,BNK,Oceania,broken-head-nsw-north-australia,TRUE,,,,,
