full_location_name,country_clean,latitude,longitude,timezone,primary_airport_iata,region_major,slug,active,nearest,hotellook_city_id,skill_level_min,skill_level_max,hotellook_city_id_airport
"Moana Beach, SA, York Peninsula",Australia,-35.19807961,138.4696198,Australia/Sydney,ADL,Oceania,moana-beach-sa-york-peninsula-australia,TRUE,Adelaide,5052,beginner,intermediate,5052
"Mocambique, Florianopolis",Brazil,-27.52532255,-48.41056824,America/Sao_Paulo,FLN,South America,mocambique-florianopolis-brazil,TRUE,,,intermediate,advanced,6362
"Mocó, Santa Catarina North",Brazil,-27.08018177,-48.58845234,America/Sao_Paulo,NVT,South America,moco-santa-catarina-north-brazil,TRUE,,,beginner,intermediate,6422
"Moffats, QLD, Sunshine Coast",Australia,-26.79032567,153.1468606,Australia/Sydney,CUD,Oceania,moffats-qld-sunshine-coast-australia,TRUE,,,beginner,intermediate,
"Mokes, SA, East",Australia,-38.04150486,140.6221032,Australia/Sydney,MGB,Oceania,mokes-sa-east-australia,TRUE,,,beginner,intermediate,5476
Molas,Lithuania,55.73162304,21.0834235,UTC,PLQ,Europe,molas-lithuania,TRUE,,,beginner,intermediate,8728
"Molhe de Ferragudo, South",Portugal,37.10937363,-8.519983292,Europe/Lisbon,PRM,Europe,molhe-de-ferragudo-south-portugal,TRUE,Lagoa,4798,intermediate,advanced,4883
"molhe de Piçarras, Santa Catarina North",Brazil,-26.75702556,-48.67343545,America/Sao_Paulo,NVT,South America,molhe-de-picarras-santa-catarina-north-brazil,TRUE,,,beginner,intermediate,6422
"Molhe Leste, Central Peniche",Portugal,39.34929921,-9.367947578,Europe/Lisbon,LIS,Europe,molhe-leste-central-peniche-portugal,TRUE,,,intermediate,advanced,4806
"Molhes, Rio Grande do Sul",Brazil,-29.32731119,-49.71200824,America/Sao_Paulo,TSQ,South America,molhes-rio-grande-do-sul-brazil,TRUE,,,intermediate,advanced,
"Moliets, Landes",France,43.85291222,-1.393117905,Europe/Paris,BIQ,Europe,moliets-landes-france,TRUE,Moliets-et-Maâ,15363,beginner,intermediate,14344
"Moliets Golf, Landes",France,43.84316307,-1.39731288,Europe/Paris,BIQ,Europe,moliets-golf-landes-france,TRUE,Moliets-et-Maâ,15363,beginner,intermediate,14344
"Molino de papel, Mediterranean",Spain,36.75069655,-3.815184832,Europe/Madrid,GRX,Europe,molino-de-papel-mediterranean-spain,TRUE,,,beginner,intermediate,3509
Mölle-hamn,Sweden,56.28420124,12.4917984,UTC,AGH,Europe,molle-hamn-sweden,TRUE,Höganäs kommun,1479489,beginner,intermediate,
"Mollymook Reef, NSW, South Coast",Australia,-35.32941139,150.4766464,Australia/Sydney,NOA,Oceania,mollymook-reef-nsw-south-coast-australia,TRUE,Shoalhaven City Council,,intermediate,advanced,
Mombasa Channel,Kenya,-4.087365272,39.68314075,UTC,MBA,Africa,mombasa-channel-kenya,TRUE,Mombasa,6594,intermediate,advanced,6594
"Momoishi, Tohoku",Japan,40.6715492,141.4388466,UTC,MSJ,Asia,momoishi-tohoku-japan,TRUE,Misawa,25620,beginner,intermediate,25620
Mompiche,Ecuador,0.509741734,-80.02874851,UTC,ESM,South America,mompiche-ecuador,TRUE,,,intermediate,advanced,2765
"Mona Vale, NSW, Sydney North",Australia,-33.68206818,151.3137531,Australia/Sydney,LBH,Oceania,mona-vale-nsw-sydney-north-australia,TRUE,,,intermediate,advanced,
"Monahans Dock, North East, Southern New England",USA,41.4224299,-71.45430297,America/Los_Angeles,NPT,North America,monahans-dock-north-east-southern-new-england-usa,TRUE,South County,,beginner,intermediate,
"Mondello, Sicily",Italy,38.18422792,13.34838867,UTC,PMO,Europe,mondello-sicily-italy,TRUE,Palermo,23424,intermediate,advanced,1475435
"Mondos, California, Ventura",USA,34.32147743,-119.375006,America/Los_Angeles,OXR,North America,mondos-california-ventura-usa,TRUE,Ventura County,17463,intermediate,advanced,
"Moneglia, Mainland",Italy,44.24003399,9.481415749,UTC,GOA,Europe,moneglia-mainland-italy,TRUE,,,beginner,intermediate,373
"Monica beach, North",Morocco,33.71106066,-7.361698151,Africa/Casablanca,GMD,Africa,monica-beach-north-morocco,TRUE,Mohammedia,1473234,beginner,intermediate,
"Monobegawakakou, Shikoku",Japan,33.53414034,133.6850739,UTC,KCZ,Asia,monobegawakakou-shikoku-japan,TRUE,Konan,25713,intermediate,advanced,1509170
Monseigneur,Madagascar,-25.02495079,47.00569153,UTC,FTU,Africa,monseigneur-madagascar,TRUE,,,intermediate,advanced,5002
"Monster hole, South East, North Florida",USA,27.86631965,-80.4297924,America/Los_Angeles,VRB,North America,monster-hole-south-east-north-florida-usa,TRUE,Brevard County,,intermediate,advanced,
"Montalivet, Gironde",France,45.37753313,-1.161289215,Europe/Paris,RYN,Europe,montalivet-gironde-france,TRUE,,,beginner,intermediate,
"Montalvo Beach, Galicia",Spain,42.39788618,-8.848500252,Europe/Madrid,VGO,Europe,montalvo-beach-galicia-spain,TRUE,Sanxenxo,4003,beginner,intermediate,4192
Montañita,Ecuador,-1.819476376,-80.75740814,UTC,SNC,South America,montanita-ecuador,TRUE,Parroquia Manglaralto,1513317,intermediate,advanced,924
Montañita-beachbreak,Ecuador,-1.828226671,-80.75380325,UTC,SNC,South America,montanita-beachbreak-ecuador,TRUE,Parroquia Manglaralto,1513317,beginner,intermediate,924
"Montara, California, San Mateo",USA,37.55226696,-122.5140595,America/Los_Angeles,HAF,North America,montara-california-san-mateo-usa,TRUE,San Mateo County,17381,intermediate,advanced,869
"Montauk point - Turtles, North East, Long Island NY",USA,41.06987203,-71.85748458,America/Los_Angeles,MTP,North America,montauk-point-turtles-north-east-long-island-ny-usa,TRUE,Town of East Hampton,24839,beginner,intermediate,
"Monte Clerigo, Algarve",Portugal,37.34453909,-8.854165077,Europe/Lisbon,PRM,Europe,monte-clerigo-algarve-portugal,TRUE,,,intermediate,advanced,4883
"Monte Hermoso, North",Argentina,-38.98983625,-61.29821777,UTC,BHI,South America,monte-hermoso-north-argentina,TRUE,,,beginner,intermediate,6077
Monterrico,Guatemala,13.88936667,-90.48261389,UTC,GSJ,Central America,monterrico-guatemala,TRUE,Taxisco,1467096,intermediate,advanced,
"Montgo di Bongo, Mediterranean",Spain,38.78774024,0.182869658,Europe/Madrid,ALC,Europe,montgo-di-bongo-mediterranean-spain,TRUE,Xàbia / Jávea,4164,intermediate,advanced,3108
Montoya,Uruguay,-34.91648157,-54.84778404,UTC,PDP,South America,montoya-uruguay,TRUE,,,intermediate,advanced,6296
"Monument, SA, Eyre Peninsula",Australia,-34.5204185,135.3742218,Australia/Sydney,PLO,Oceania,monument-sa-eyre-peninsula-australia,TRUE,,,intermediate,advanced,5550
"Monument Beach, NSW, South Coast",Australia,-35.23053814,150.5308324,Australia/Sydney,NOA,Oceania,monument-beach-nsw-south-coast-australia,TRUE,Shoalhaven City Council,,beginner,intermediate,
"Monuments, Baja Sur",Mexico,22.8981675,-109.8703194,America/Mexico_City,SJD,North America,monuments-baja-sur-mexico,TRUE,Cabo San Lucas,4374,intermediate,advanced,4476
"Moo Cows, VIC, Melbourne West",Australia,-38.78911472,143.6513042,Australia/Sydney,XCO,Oceania,moo-cows-vic-melbourne-west-australia,TRUE,,,beginner,intermediate,
"Moolack, North West, Oregon Central",USA,44.69989766,-124.0648699,America/Los_Angeles,ONP,North America,moolack-north-west-oregon-central-usa,TRUE,Lincoln County,21462,beginner,intermediate,
"Mooloolaba, QLD, Sunshine Coast",Australia,-26.6815482,153.1217337,Australia/Sydney,MCY,Oceania,mooloolaba-qld-sunshine-coast-australia,TRUE,Sunshine Coast Regional,,beginner,intermediate,1676777
"Moon island, NSW, Newcastle",Australia,-33.08711005,151.6753149,Australia/Sydney,BEO,Oceania,moon-island-nsw-newcastle-australia,TRUE,,,beginner,intermediate,24178
"Moonlight Bay, Cape Town",South Africa,-34.38020844,18.82623196,Africa/Johannesburg,CPT,Africa,moonlight-bay-cape-town-south-africa,TRUE,,,beginner,intermediate,678
"Moonstone, California, Humboldt",USA,41.03131063,-124.117012,America/Los_Angeles,ACV,North America,moonstone-california-humboldt-usa,TRUE,Humboldt County,,beginner,intermediate,
"Moonstone, California, San Luis Obispo",USA,35.56928951,-121.112085,America/Los_Angeles,SYL,North America,moonstone-california-san-luis-obispo-usa,TRUE,San Luis Obispo County,17378,beginner,intermediate,6697
"Moore Park Beach, QLD, North West",Australia,-24.71876666,152.2792625,Australia/Sydney,BDB,Oceania,moore-park-beach-qld-north-west-australia,TRUE,Bundaberg Region,,beginner,intermediate,5144
"Morcego, Santa Catarina North",Brazil,-26.93105211,-48.6252147,America/Sao_Paulo,NVT,South America,morcego-santa-catarina-north-brazil,TRUE,,,beginner,intermediate,6422
"More Mesa, California, Santa Barbara",USA,34.41699358,-119.787932,America/Los_Angeles,SBA,North America,more-mesa-california-santa-barbara-usa,TRUE,Santa Barbara County,17389,intermediate,advanced,
"Morgat Harbour, Brittany North",France,48.22424401,-4.493048787,Europe/Paris,BES,Europe,morgat-harbour-brittany-north-france,TRUE,,,beginner,intermediate,7010
"Morghella, Sicily",Italy,36.70063604,15.12450993,UTC,CIY,Europe,morghella-sicily-italy,TRUE,Pachino,1467192,intermediate,advanced,12776
