name,country,country_clean,state_province,region_detail,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active
De langre,"Spain, Cantabria",Spain,,Cantabria,43.47570372,-3.689453602,Europe/Madrid,beginner,intermediate,SDR,Europe,de-langre,TRUE
Dead Zone,"France, Gironde",France,,Gironde,44.52092797,-1.259307861,Europe/Paris,beginner,intermediate,BOD,Europe,dead-zone,TRUE
Deadman's,"USA, California, Humboldt",USA,California,Humboldt,40.02358875,-124.0574777,America/Los_Angeles,intermediate,advanced,FOB,North America,deadman's,TRUE
Deadman's,"USA, California, Ventura",USA,California,Ventura,34.06584981,-119.00455,America/Los_Angeles,intermediate,advanced,NTD,North America,deadman's,TRUE
Deadmans,"Australia, NSW, Sydney North",Australia,NSW,Sydney North,-33.80029743,151.3004708,Australia/Sydney,intermediate,advanced,RSE,Oceania,deadmans,TRUE
deadmans,Denmark,Denmark,,,56.96620225,8.382021189,UTC,beginner,intermediate,TED,Europe,deadmans,TRUE
Death Bay,"UK, Cornwall North",UK,,Cornwall North,50.57228109,-4.924345315,Europe/London,beginner,intermediate,NQY,Europe,death-bay,TRUE
Deauville,"France, Normandy",France,,Normandy,49.36278419,0.066947937,Europe/Paris,beginner,intermediate,DOL,Europe,deauville,TRUE
Deba,"Spain, Pais Vasco",Spain,,Pais Vasco,43.30369474,-2.353134155,Europe/Madrid,beginner,intermediate,BIO,Europe,deba,TRUE
Decaplage,Algeria,Algeria,,,36.78681029,3.323493004,UTC,beginner,intermediate,ALG,Other,decaplage,TRUE
Dedis,"Australia, QLD, Sunshine Coast",Australia,QLD,Sunshine Coast,-26.67794845,153.1207037,Australia/Sydney,beginner,intermediate,MCY,Oceania,dedis,TRUE
Dee why,"Australia, NSW, Sydney North",Australia,NSW,Sydney North,-33.75463808,151.2994838,Australia/Sydney,beginner,intermediate,RSE,Oceania,dee-why,TRUE
Deep Creek,"USA, North West, Washington",USA,North West,Washington,48.17249666,-124.0246582,America/Los_Angeles,intermediate,advanced,CLM,North America,deep-creek,TRUE
Deer Creek,"USA, California, Ventura",USA,California,Ventura,34.06234353,-118.9897013,America/Los_Angeles,beginner,intermediate,NTD,North America,deer-creek,TRUE
Deerfield Beach Pier,"USA, South East, South Florida",USA,South East,South Florida,26.31649783,-80.07411003,America/Los_Angeles,beginner,intermediate,BCT,North America,deerfield-beach-pier,TRUE
Del Mar,"USA, California, San Diego County",USA,California,San Diego County,32.9639547,-117.2693968,America/Los_Angeles,beginner,intermediate,NKX,North America,del-mar,TRUE
Del Mar Jetties,"USA, California, San Diego County",USA,California,San Diego County,33.2176959,-117.406919,America/Los_Angeles,beginner,intermediate,OCN,North America,del-mar-jetties,TRUE
Del Monte Beach,"USA, California, Monterey",USA,California,Monterey,36.60545144,-121.8692994,America/Los_Angeles,beginner,intermediate,MRY,North America,del-monte-beach,TRUE
Del Morida,"USA, California, Santa Barbara",USA,California,Santa Barbara,34.5413611,-120.5525551,America/Los_Angeles,beginner,intermediate,LPC,North America,del-morida,TRUE
Delicate Nobby,"Australia, NSW, Mid North Coast",Australia,NSW,Mid North Coast,-31.25657833,152.97153,Australia/Sydney,beginner,intermediate,PQQ,Oceania,delicate-nobby,TRUE
Delray public beach,"USA, South East, South Florida",USA,South East,South Florida,26.45846166,-80.05752325,America/Los_Angeles,beginner,intermediate,BCT,North America,delray-public-beach,TRUE
Democrat Point (Robert Moses),"USA, North East, Long Island NY",USA,North East,Long Island NY,40.62021773,-73.30659896,America/Los_Angeles,intermediate,advanced,FRG,North America,democrat-point-(robert-moses),TRUE
Denhams Beach - Rooster Tail,"Australia, NSW, Far South",Australia,NSW,Far South,-35.75537613,150.2152491,Australia/Sydney,beginner,intermediate,MYA,Oceania,denhams-beach---rooster-tail,TRUE
denison surf beach,"Australia, WA, Perth North",Australia,WA,Perth North,-29.26988151,114.9220186,Australia/Sydney,beginner,intermediate,DOX,Oceania,denison-surf-beach,TRUE
Deolen,"France, Brittany North",France,,Brittany North,48.34505483,-4.640479088,Europe/Paris,beginner,intermediate,BES,Europe,deolen,TRUE
Depressions,"USA, California, Santa Barbara",USA,California,Santa Barbara,34.40602447,-119.8501968,America/Los_Angeles,intermediate,advanced,SBA,North America,depressions,TRUE
depuradora,"Spain, Galicia",Spain,,Galicia,42.11625893,-8.898668289,Europe/Madrid,beginner,intermediate,VGO,Europe,depuradora,TRUE
